CL_NM,TRRSRT_NM,TRRSRT_ADDR,ORIGIN_CL_NM,ANALS_BEGIN_DE,ANALS_END_DE,AVRG_SCORE_VALUE,CORE_KWRD_CN,CORE_KWRD_CO,AFRM_KWRD_CN,AFRM_KWRD_CO,NEGA_KWRD_CN,NEGA_KWRD_CO
공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,NAVER,20230701,20231231,0,"파충류,체험,아이,사진,친절,고흐,방문,정원,설명,시간",143,친절,1,,0
공연전시,노형슈퍼마켙,제주특별자치도 제주시 노형로 89,NAVER,20230701,20231231,0,"사진,시간,영상,아이,가격,생각,친절,기념품,구경,느낌",171,"친절,느낌",2,,0
공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,NAVER,20230701,20231231,0,"감상,그림,작품,관람,벙커,음악,세잔,아이,바닥,기대",194,기대,1,,0
공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,NAVER,20230701,20231231,0,"아이,자동차,체험,피아노,사슴,먹이,유익,방문,시간,구경",356,,0,,0
공연전시,수목원테마파크,제주 제주시 은수길 69,NAVER,20230701,20231231,0,"체험,아이,아이스,얼음,썰매,생각,다양,뮤지엄,볼거리,직원",78,,0,,0
공연전시,아리랑공연장,제주 서귀포시 표선면 번영로 2564-21,NAVER,20230701,20231231,0,"공연,태권도,관람,만족,생각,부분,재미,친절,낙타,추억",47,"만족,재미,친절,추억",4,,0
공연전시,윈드1947카트 테마파크,제주 서귀포시 토평공단로 78-27,NAVER,20230701,20231231,0,"카트,코스,아이,대기,생각,서바이벌,가족,방문,시간,사진",232,,0,,0
공연전시,테디베어박물관,제주 서귀포시 중문관광로110번길 31,NAVER,20230701,20231231,0,"테디베어,아이,볼거리,인형,팔찌,후원,생각,공룡,실망,입구",109,,0,실망,1
공연전시,점보빌리지,제주 서귀포시 안덕면 평화로319번길 31-11,NAVER,20230701,20231231,0,"코끼리,아이,공연,체험,시간,트레킹,먹이,사진,친절,처음",197,친절,1,,0
공연전시,헬로키티아일랜드,제주 서귀포시 안덕면 한창로 340,NAVER,20230701,20231231,0,"아이,키티,사진,방문,여자,생각,핑크,산리오,구경,시간",229,,0,,0
공연전시,피규어뮤지엄제주,제주 서귀포시 안덕면 한창로 243,NAVER,20230701,20231231,0,"아이,피규어,어른,사진,캐릭터,방문,시간,구경,추억,제주",165,추억,1,,0
공연전시,제주난타,제주 제주시 선돌목동길 56-26,NAVER,20230701,20231231,0,"공연,시간,감사,아이,배우,추천,열정,부모,제주,난타",76,"추천,열정",2,,0
공연전시,스카이워터쇼,제주 제주시 구좌읍 번영로 2172-80,NAVER,20230701,20231231,0,"공연,아이,서커스,여행,시간,다이빙,부모,어른,사진,촬영",176,,0,,0
