BASE_YM,CL_NM,TRRSRT_NM,TRRSRT_ADDR,SCORE_VALUE,MOP_CN,REGIST_DE
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"지루,음악,그림,전시회,추억",20231126
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"화풍,다음,방문,모습",20231126
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"음악,웅장,벙커,영상,생각",20231126
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"촬영,제작,작품,입장,코드",20231125
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,느낌,20231125
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"봐도바,감동,관람",20231124
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,,20231124
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"시간,그림",20231124
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"가까이,바닥,친절,명화,이용",20231124
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,실망,20231122
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"음악,명화,시간,감상,자체",20231120
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"아이,입장료,초등",20231119
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,가격,20231118
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,,20231118
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"설명,작품,바닥,세상,감상",20231117
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"경험,음악,그림,기분,영상",20231116
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,,20231114
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"다음,기회,영상,작품,한번",20231113
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,관람,20231113
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"생각,장소,계획",20231112
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"클림트,제주,칸딘스키",20231112
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"자리,가격,정도",20231112
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"기대,만족",20231111
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"풍경,계절",20231111
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,경험,20231110
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,,20231109
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"힐링,아이,편안",20231109
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,엄마,20231108
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"감상,음악,사진,마음,작품",20231107
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"감상,느낌,중간,미술,입장료",20231106
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"와이프,운전,리뷰,초등학생",20231106
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"바닥,판타스틱,입체,감상,스크린",20231106
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"기대,관람",20231105
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"느낌,학생,감성,예술,수학여행",20231105
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"아이,어른,관람",20231105
202311,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,,20231101
202311,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,0,"자동차,옛날",20231130
202311,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,0,"자동차,피아노",20231130
202311,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,0,"엄마,아이,관심,아빠",20231130
202311,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,0,아이,20231130
