BASE_YM,CL_NM,TRRSRT_NM,TRRSRT_ADDR,SCORE_VALUE,MOP_CN,REGIST_DE
202309.0,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,사진,20230930
202309.0,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"음악,어르신,공간,이용,그림",20230930
202309.0,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,,20230930
202309.0,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,0,"그림,음악,감상",20230930
202309.0,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,0,"운전대,아이,남자,자동차",20230930
202309.0,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,0,아이,20230930
202309.0,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,0,아이,20230929
202309.0,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,0,"피아노,유익,관람,최고,자동차",20230929
202309.0,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,0,"유익,피아노,교통,운전,먹이",20230929
202309.0,공연전시,아리랑공연장,제주 서귀포시 표선면 번영로 2564-21,0,친절,20230928
202309.0,공연전시,아리랑공연장,제주 서귀포시 표선면 번영로 2564-21,0,"추억,공연,관람,낙타,만족",20230925
202309.0,공연전시,아리랑공연장,제주 서귀포시 표선면 번영로 2564-21,0,태권도쫭,20230917
202309.0,공연전시,아리랑공연장,제주 서귀포시 표선면 번영로 2564-21,0,"반복,서로,감동,노력,남녀노소",20230914
202309.0,공연전시,점보빌리지,제주 서귀포시 안덕면 평화로319번길 31-11,0,,20230930
202309.0,공연전시,점보빌리지,제주 서귀포시 안덕면 평화로319번길 31-11,0,"생각,탑승,코끼리,운동,허리",20230930
202309.0,공연전시,점보빌리지,제주 서귀포시 안덕면 평화로319번길 31-11,0,"시간,동남아,그려려,특유,아이",20230930
202309.0,공연전시,스카이워터쇼,제주 제주시 구좌읍 번영로 2172-80,0,"시간,공연,순환,혈액,여행",20230930
202309.0,공연전시,스카이워터쇼,제주 제주시 구좌읍 번영로 2172-80,0,"공연,처음,다이빙,서커스,최고",20230930
202309.0,공연전시,스카이워터쇼,제주 제주시 구좌읍 번영로 2172-80,0,,20230930
202309.0,기타,명월국민학교,제주 제주시 한림읍 명월로 48,0,세대,20230930
202309.0,기타,명월국민학교,제주 제주시 한림읍 명월로 48,0,"완벽,추억,돈까스,테이블,복도",20230930
202309.0,기타,명월국민학교,제주 제주시 한림읍 명월로 48,0,추억,20230929
202309.0,기타,명월국민학교,제주 제주시 한림읍 명월로 48,0,"포토존,소품,가격,맛됴,구경",20230929
202309.0,기타,명월국민학교,제주 제주시 한림읍 명월로 48,0,"소품,다양,음료",20230929
202309.0,기타,명월국민학교,제주 제주시 한림읍 명월로 48,0,"떡볶이,유명,포토존,추가",20230928
202309.0,기타,명월국민학교,제주 제주시 한림읍 명월로 48,0,"생각,포토스팟,국민학교,쥬스,초등학교",20230925
202309.0,기타,명월국민학교,제주 제주시 한림읍 명월로 48,0,특색,20230924
202309.0,기타,명월국민학교,제주 제주시 한림읍 명월로 48,0,"메뉴,장소,가격",20230924
202309.0,레저관광,김녕요트투어,제주 제주시 구좌읍 구좌해안로 229-16,0,"특별,여행,제주,필수,코스",20230930
