CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,BASE_MT,ALL_TOTAL_CO,MON_VIEWS_CO,TUES_VIEWS_CO,WED_VIEWS_CO,THUR_VIEWS_CO,FRI_VIEWS_CO,SAT_VIEWS_CO,SUN_VIEWS_CO
c1,관광지,걸매예술마을,제주특별자치도 서귀포시 서홍로 4-42,2023,05,82,14,20,11,9,10,10,8
c1,관광지,걸서악오름,제주특별자치도 서귀포시 남원읍 하례로 393-1,2023,05,42,6,8,5,9,6,6,2
c1,관광지,검멀레동굴,제주특별자치도 제주시 우도면,2023,05,162,29,27,28,16,18,18,26
c1,관광지,검멀레해변,제주특별자치도 제주시 우도면 우도해안길,2023,05,388,83,82,63,46,32,27,55
c1,관광지,게우지코지,제주특별자치도 서귀포시 하효동,2023,05,119,20,14,23,16,16,18,12
c1,관광지,겨울이네,제주특별자치도 제주시 아란4길 91,2023,05,47,9,8,5,6,4,10,5
c1,관광지,고근산(고공산),제주특별자치도 서귀포시 고근산로202번길 48,2023,05,111,24,18,14,12,16,9,18
c1,관광지,고내리 다락쉼터,제주특별자치도 제주시 애월읍 애월해안로 284,2023,05,77,15,16,5,11,9,12,9
c1,관광지,고내리포구,제주특별자치도 제주시 애월읍 고내리,2023,05,61,7,12,9,15,5,6,7
c1,관광지,"고내봉(고내오름,고니오름,망오름)",제주특별자치도 제주시 애월읍 고내리 산 3-1,2023,05,105,18,19,14,16,9,17,12
c1,관광지,고사리숲,제주특별자치도 제주시 애월읍 평화로 2715 제주관광대학교 내 창업보육센터 본관 315호,2023,05,69,8,16,14,10,6,6,9
c1,관광지,고산일과해안도로,제주특별자치도 서귀포시 대정읍 영락하동로 9-6,2023,05,71,17,10,14,7,8,10,5
c1,관광지,고살리숲길,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,2023,05,313,48,48,53,44,36,39,45
c1,관광지,고씨주택,제주특별자치도 제주시 관덕로17길 27-1,2023,05,73,4,14,18,12,12,4,9
c1,관광지,고요산책,제주특별자치도 제주시 중앙로12길 5,2023,05,63,10,11,12,9,7,6,8
c1,관광지,고포잇다이브센터,제주특별자치도 서귀포시 이어도로 685-1,2023,05,66,11,9,10,11,6,11,8
c1,관광지,고흐의 정원,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,2023,05,126,21,19,22,21,14,14,15
c1,관광지,곤물,제주특별자치도 서귀포시 안덕면 화순서서로64번길 64-4,2023,05,27,5,6,4,4,2,3,3
