CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,BASE_MT,ALL_TOTAL_CO,MON_VIEWS_CO,TUES_VIEWS_CO,WED_VIEWS_CO,THUR_VIEWS_CO,FRI_VIEWS_CO,SAT_VIEWS_CO,SUN_VIEWS_CO
c1,관광지,브랭섬홀아시아 아이스링크,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234(3번게이트),2023,01,110,15,12,14,16,24,6,23
c1,관광지,(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,2023,01,68,11,14,11,5,10,4,13
c1,관광지,1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,2023,01,1587,313,283,222,185,180,154,250
c1,관광지,1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,2023,01,4075,662,643,599,404,541,502,724
c1,관광지,1112도로,제주특별자치도 제주시 명림로 584 (봉개동),2023,01,79,17,6,9,11,9,16,11
c1,관광지,4·3해원방사탑,제주특별자치도 제주시 신산로 82,2023,01,48,17,8,8,5,3,4,3
c1,관광지,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,2023,01,148,33,19,21,23,26,12,14
c1,관광지,9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,2023,01,396,72,65,42,63,53,48,53
c1,관광지,9연대 본부 옛터,제주특별자치도 서귀포시 대정읍 일주서로 2497,2023,01,47,15,5,7,3,4,7,6
c1,관광지,Cafe 몽스파,제주특별자치도 제주시 서사로 28,2023,01,49,11,9,8,4,5,8,4
c1,관광지,M1971 요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,2023,01,48,12,6,11,5,2,7,5
c1,관광지,SM 디지털아트 뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,2023,01,280,36,45,42,27,63,36,31
c1,관광지,THE WE,제주특별자치도 서귀포시 1100로 453-95,2023,01,45,9,6,8,6,5,5,6
c1,관광지,WE호텔 웰니스센터,제주특별자치도 서귀포시 1100로 453-95,2023,01,210,24,40,21,31,43,25,26
c1,관광지,가마오름,제주특별자치도 제주시 한경면 청수서5길 63,2023,01,66,11,11,9,9,10,6,10
c1,관광지,가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,2023,01,135,26,24,11,22,16,21,15
c1,관광지,가메오름,제주특별자치도 제주시 애월읍 봉성리 산 125,2023,01,69,10,15,6,8,8,6,16
c1,관광지,가뫼물,제주특별자치도 서귀포시 남원읍 남위남성로 168,2023,01,345,63,45,43,44,53,35,62
c1,관광지,가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 남조로 1487-73,2023,01,49,11,9,6,6,1,9,7
c1,관광지,가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,2023,01,63,12,13,8,4,12,5,9
c1,관광지,가파도,제주특별자치도 서귀포시 대정읍 가파리,2023,01,1222,239,209,162,163,136,130,183
c1,관광지,가파도 마라도 정기여객선,제주특별자치도 서귀포시 대정읍 최남단해안로 120,2023,01,77,15,11,10,14,5,11,11
c1,관광지,가파초등학교 마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58,2023,01,51,7,11,9,7,6,7,4
c1,관광지,각시바우오름,제주특별자치도 서귀포시 호근동 2112,2023,01,43,15,6,7,3,4,2,6
c1,관광지,간세공방,제주특별자치도 서귀포시 중정로 22,2023,01,101,20,23,15,7,15,7,14
c1,관광지,감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,2023,01,359,66,66,49,42,42,32,62
c1,관광지,감귤박물관 월라봉 산책로 - 생이소리길,제주특별자치도 서귀포시 효돈순환로 441,2023,01,59,13,10,11,9,4,3,9
c1,관광지,감귤상웨빵 체험,제주특별자치도 서귀포시 남원읍 하례중앙로 95,2023,01,94,17,17,15,17,5,7,16
c1,관광지,감수굴 밭담길,제주특별자치도 제주시 구좌읍 평대7길 34,2023,01,63,10,7,10,9,6,11,10
c1,관광지,갑자기 히어로즈 벽화길,제주특별자치도 제주시 애월읍 금성1길 29-3,2023,01,74,16,15,16,9,5,4,9
c1,관광지,갓전시관[갓전수교육관],제주특별자치도 제주시 조천읍 남조로 1904,2023,01,125,23,18,19,17,19,17,12
c1,관광지,강병대교회,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,2023,01,74,13,20,7,16,6,4,8
c1,관광지,강정어촌계,제주특별자치도 서귀포시 말질로 290,2023,01,66,8,8,8,9,8,12,13
c1,관광지,강정천유원지,제주특별자치도 서귀포시 강정통물로 (강정동),2023,01,88,14,15,12,16,4,11,16
c1,관광지,개미남,제주특별자치도 제주시 구산로 26,2023,01,48,15,5,8,3,7,5,5
c1,관광지,개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,2023,01,93,18,17,11,8,16,9,14
c1,관광지,개오리오름,제주특별자치도 제주시 봉개동,2023,01,41,11,7,7,3,8,1,4
c1,관광지,개인공간,제주특별자치도 제주시 매촌1길 3-1,2023,01,50,12,13,7,6,3,5,4
c1,관광지,갤러리2 중선농원,제주특별자치도 제주시 영평길 269,2023,01,83,16,16,11,16,7,6,11
c1,관광지,거린오름 (북오름),제주특별자치도 서귀포시 안덕면 동광리 산 94,2023,01,57,13,11,7,7,5,7,7
c1,관광지,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,2023,01,761,130,126,132,92,83,80,118
c1,관광지,거믄여해안경승지,제주특별자치도 서귀포시 516로,2023,01,41,7,6,3,4,6,7,8
