CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,BASE_MT,ALL_TOTAL_CO,MON_VIEWS_CO,TUES_VIEWS_CO,WED_VIEWS_CO,THUR_VIEWS_CO,FRI_VIEWS_CO,SAT_VIEWS_CO,SUN_VIEWS_CO
c1,관광지,브랭섬홀아시아 아이스링크,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234(3번게이트),2023,02,215,30,30,23,33,36,40,23
c1,관광지,(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,2023,02,55,7,7,13,6,7,10,5
c1,관광지,1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,2023,02,699,91,75,107,122,123,102,79
c1,관광지,1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,2023,02,1551,209,170,275,246,234,209,208
c1,관광지,1112도로,제주특별자치도 제주시 명림로 584 (봉개동),2023,02,45,5,5,5,5,4,14,7
c1,관광지,4·3해원방사탑,제주특별자치도 제주시 신산로 82,2023,02,27,2,2,6,6,6,1,4
c1,관광지,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,2023,02,151,18,24,31,20,24,24,10
c1,관광지,9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,2023,02,437,63,76,77,54,54,56,57
c1,관광지,9연대 본부 옛터,제주특별자치도 서귀포시 대정읍 일주서로 2497,2023,02,40,11,6,6,6,7,1,3
c1,관광지,Cafe 몽스파,제주특별자치도 제주시 서사로 28,2023,02,39,4,5,11,6,4,6,3
c1,관광지,M1971 요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,2023,02,46,6,8,13,6,3,2,8
c1,관광지,SM 디지털아트 뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,2023,02,112,12,20,19,17,22,11,11
c1,관광지,THE WE,제주특별자치도 서귀포시 1100로 453-95,2023,02,23,2,5,5,5,2,3,1
c1,관광지,WE호텔 웰니스센터,제주특별자치도 서귀포시 1100로 453-95,2023,02,149,28,21,21,18,31,14,16
c1,관광지,가마오름,제주특별자치도 제주시 한경면 청수서5길 63,2023,02,41,3,3,10,7,3,6,9
c1,관광지,가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,2023,02,91,11,11,24,14,10,8,13
c1,관광지,가메오름,제주특별자치도 제주시 애월읍 봉성리 산 125,2023,02,40,5,6,7,6,7,6,3
c1,관광지,가뫼물,제주특별자치도 서귀포시 남원읍 남위남성로 168,2023,02,240,36,49,46,31,29,23,26
c1,관광지,가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 남조로 1487-73,2023,02,55,5,15,11,8,7,4,5
c1,관광지,가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,2023,02,41,6,3,13,5,1,4,9
c1,관광지,가파도,제주특별자치도 서귀포시 대정읍 가파리,2023,02,1869,287,281,262,279,250,239,271
c1,관광지,가파도 마라도 정기여객선,제주특별자치도 서귀포시 대정읍 최남단해안로 120,2023,02,55,6,7,16,5,13,6,2
c1,관광지,가파초등학교 마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58,2023,02,48,12,5,6,4,7,6,8
c1,관광지,각시바우오름,제주특별자치도 서귀포시 호근동 2112,2023,02,39,3,4,6,8,6,7,5
c1,관광지,간세공방,제주특별자치도 서귀포시 중정로 22,2023,02,77,12,9,11,12,13,12,8
c1,관광지,감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,2023,02,272,36,40,42,32,42,39,41
c1,관광지,감귤박물관 월라봉 산책로 - 생이소리길,제주특별자치도 서귀포시 효돈순환로 441,2023,02,34,4,6,10,4,2,3,5
c1,관광지,감귤상웨빵 체험,제주특별자치도 서귀포시 남원읍 하례중앙로 95,2023,02,57,9,8,14,10,3,9,4
c1,관광지,감수굴 밭담길,제주특별자치도 제주시 구좌읍 평대7길 34,2023,02,57,7,10,11,8,7,8,6
c1,관광지,갑자기 히어로즈 벽화길,제주특별자치도 제주시 애월읍 금성1길 29-3,2023,02,53,4,12,10,7,6,7,7
c1,관광지,갓전시관[갓전수교육관],제주특별자치도 제주시 조천읍 남조로 1904,2023,02,96,13,21,14,13,20,9,6
c1,관광지,강병대교회,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,2023,02,47,4,9,9,11,6,3,5
c1,관광지,강정어촌계,제주특별자치도 서귀포시 말질로 290,2023,02,52,5,5,15,6,6,6,9
c1,관광지,강정천유원지,제주특별자치도 서귀포시 강정통물로 (강정동),2023,02,58,12,1,11,7,9,10,8
c1,관광지,개미남,제주특별자치도 제주시 구산로 26,2023,02,34,5,1,10,9,5,1,3
c1,관광지,개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,2023,02,72,8,9,15,12,5,9,14
c1,관광지,개오리오름,제주특별자치도 제주시 봉개동,2023,02,26,1,5,9,2,2,4,3
c1,관광지,개인공간,제주특별자치도 제주시 매촌1길 3-1,2023,02,34,3,5,8,8,3,4,3
c1,관광지,갤러리2 중선농원,제주특별자치도 제주시 영평길 269,2023,02,56,6,7,15,7,5,4,12
c1,관광지,거린오름 (북오름),제주특별자치도 서귀포시 안덕면 동광리 산 94,2023,02,55,7,2,15,10,8,7,6
c1,관광지,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,2023,02,705,89,86,93,105,118,131,83
c1,관광지,거믄여해안경승지,제주특별자치도 서귀포시 516로,2023,02,28,2,7,10,3,3,2,1
c1,관광지,거슨새미오름,제주특별자치도 제주시 구좌읍 송당리 산 145,2023,02,124,15,25,14,17,18,18,17
c1,관광지,거인의 정원,제주특별자치도 제주시 대원길 58,2023,02,53,7,8,9,6,4,11,8
c1,관광지,거친오름,제주특별자치도 제주시 명림로 520 (봉개동),2023,02,58,12,10,12,4,5,8,7
c1,관광지,건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,2023,02,142,24,28,24,14,19,16,17
c1,관광지,건강장수마을 산양리 농어촌체험마을,제주시 한경면 중산간서로 3169,2023,02,41,6,3,7,5,6,8,6
c1,관광지,걸매생태공원,제주특별자치도 서귀포시 남성로 (서홍동),2023,02,331,58,44,65,56,31,39,38
c1,관광지,걸매예술마을,제주특별자치도 서귀포시 서홍로 4-42,2023,02,67,9,9,11,8,10,7,13
c1,관광지,걸서악오름,제주특별자치도 서귀포시 남원읍 하례로 393-1,2023,02,34,1,5,8,7,5,3,5
