CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,BASE_MT,ALL_TOTAL_CO,MON_VIEWS_CO,TUES_VIEWS_CO,WED_VIEWS_CO,THUR_VIEWS_CO,FRI_VIEWS_CO,SAT_VIEWS_CO,SUN_VIEWS_CO
c1,관광지,브랭섬홀아시아 아이스링크,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234(3번게이트),2023,06,107,12,20,14,20,18,8,15
c1,관광지,(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,2023,06,69,13,7,10,13,8,8,10
c1,관광지,1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,2023,06,353,58,44,49,62,56,41,43
c1,관광지,1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,2023,06,370,55,59,51,55,60,39,51
c1,관광지,1112도로,제주특별자치도 제주시 명림로 584 (봉개동),2023,06,44,12,4,5,9,4,2,8
c1,관광지,4·3해원방사탑,제주특별자치도 제주시 신산로 82,2023,06,47,8,10,7,6,7,4,5
c1,관광지,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,2023,06,143,24,20,14,34,14,16,21
c1,관광지,9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,2023,06,490,71,96,76,84,57,55,51
c1,관광지,998서프 삼양,제주특별자치도 제주시 선사로8길 33,2023,06,6,3,1,0,1,1,0,0
c1,관광지,9연대 본부 옛터,제주특별자치도 서귀포시 대정읍 일주서로 2497,2023,06,50,7,3,7,8,5,10,10
c1,관광지,Cafe 몽스파,제주특별자치도 제주시 서사로 28,2023,06,41,9,5,5,9,3,3,7
c1,관광지,M1971 요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,2023,06,107,19,17,8,14,21,11,17
c1,관광지,SM 디지털아트 뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,2023,06,173,25,30,24,43,19,16,16
c1,관광지,THE WE,제주특별자치도 서귀포시 1100로 453-95,2023,06,43,8,5,3,9,9,3,6
c1,관광지,WE호텔 웰니스센터,제주특별자치도 서귀포시 1100로 453-95,2023,06,247,61,34,32,51,30,15,24
c1,관광지,가마오름,제주특별자치도 제주시 한경면 청수서5길 63,2023,06,49,7,6,14,7,6,2,7
c1,관광지,가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,2023,06,90,18,10,12,16,14,14,6
c1,관광지,가메오름,제주특별자치도 제주시 애월읍 봉성리 산 125,2023,06,49,4,3,13,10,5,5,9
c1,관광지,가뫼물,제주특별자치도 서귀포시 남원읍 남위남성로 168,2023,06,234,44,27,35,43,33,24,28
c1,관광지,가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 남조로 1487-73,2023,06,40,10,2,7,4,6,7,4
c1,관광지,가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,2023,06,44,9,2,8,4,5,8,8
c1,관광지,가파도,제주특별자치도 서귀포시 대정읍 가파리,2023,06,1371,186,207,132,210,187,201,248
c1,관광지,가파도 마라도 정기여객선,제주특별자치도 서귀포시 대정읍 최남단해안로 120,2023,06,92,13,8,13,13,20,8,17
c1,관광지,가파초등학교 마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58,2023,06,67,7,13,11,10,9,11,6
c1,관광지,각시바우오름,제주특별자치도 서귀포시 호근동 2112,2023,06,41,12,8,2,4,4,7,4
c1,관광지,간세공방,제주특별자치도 서귀포시 중정로 22,2023,06,76,11,10,11,20,10,4,10
c1,관광지,감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,2023,06,292,43,41,37,59,56,22,34
c1,관광지,감귤박물관 월라봉 산책로 - 생이소리길,제주특별자치도 서귀포시 효돈순환로 441,2023,06,36,4,4,6,2,10,5,5
c1,관광지,감귤상웨빵 체험,제주특별자치도 서귀포시 남원읍 하례중앙로 95,2023,06,59,11,4,16,6,10,4,8
c1,관광지,감성을담다,제주특별자치도 제주시 구좌읍 평대7길 20-1,2023,06,15,2,1,4,2,1,2,3
c1,관광지,감수굴 밭담길,제주특별자치도 제주시 구좌읍 평대7길 34,2023,06,43,5,11,4,7,4,4,8
c1,관광지,갑자기 히어로즈 벽화길,제주특별자치도 제주시 애월읍 금성1길 29-3,2023,06,54,14,4,7,9,7,6,7
c1,관광지,갓전시관[갓전수교육관],제주특별자치도 제주시 조천읍 남조로 1904,2023,06,101,8,15,11,22,19,10,16
c1,관광지,강병대교회,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,2023,06,53,7,7,2,11,15,3,8
c1,관광지,강정어촌계,제주특별자치도 서귀포시 말질로 290,2023,06,75,12,5,8,15,11,10,14
c1,관광지,강정천유원지,제주특별자치도 서귀포시 강정통물로 (강정동),2023,06,207,28,30,34,29,39,20,27
c1,관광지,개떼목장,제주특별자치도 서귀포시 안덕면 평화로 486 (덕수리),2023,06,55,10,10,3,11,11,5,5
c1,관광지,개미남,제주특별자치도 제주시 구산로 26,2023,06,40,10,3,7,6,5,5,4
c1,관광지,개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,2023,06,129,13,19,9,29,21,23,15
c1,관광지,개오리오름,제주특별자치도 제주시 봉개동,2023,06,41,6,7,5,9,0,2,12
c1,관광지,개인공간,제주특별자치도 제주시 매촌1길 3-1,2023,06,36,7,4,6,4,3,7,5
c1,관광지,갤러리2 중선농원,제주특별자치도 제주시 영평길 269,2023,06,56,9,10,7,10,12,6,2
c1,관광지,거린오름 (북오름),제주특별자치도 서귀포시 안덕면 동광리 산 94,2023,06,56,10,8,9,10,4,6,9
c1,관광지,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,2023,06,1259,168,183,208,254,226,116,104
c1,관광지,거믄여해안경승지,제주특별자치도 서귀포시 516로,2023,06,35,6,8,4,4,5,3,5
c1,관광지,거슨새미오름,제주특별자치도 제주시 구좌읍 송당리 산 145,2023,06,128,23,14,26,21,19,15,10
c1,관광지,거인의 정원,제주특별자치도 제주시 대원길 58,2023,06,78,15,9,10,14,11,9,10
c1,관광지,거친오름,제주특별자치도 제주시 명림로 520 (봉개동),2023,06,51,10,6,5,8,7,5,10
c1,관광지,건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,2023,06,154,27,20,22,26,16,17,26
c1,관광지,건강장수마을 산양리 농어촌체험마을,제주시 한경면 중산간서로 3169,2023,06,44,8,2,8,4,8,5,9
c1,관광지,걸매생태공원,제주특별자치도 서귀포시 남성로 (서홍동),2023,06,124,8,15,20,22,22,18,19
c1,관광지,걸매예술마을,제주특별자치도 서귀포시 서홍로 4-42,2023,06,45,7,8,2,8,8,7,5
c1,관광지,걸서악오름,제주특별자치도 서귀포시 남원읍 하례로 393-1,2023,06,33,9,5,3,4,2,2,8
c1,관광지,검멀레동굴,제주특별자치도 제주시 우도면,2023,06,145,31,18,17,24,16,21,18
c1,관광지,검멀레해변,제주특별자치도 제주시 우도면 우도해안길,2023,06,313,42,51,45,66,48,29,32
c1,관광지,게우지코지,제주특별자치도 서귀포시 하효동,2023,06,94,20,15,13,14,6,10,16
c1,관광지,겨울이네,제주특별자치도 제주시 아란4길 91,2023,06,42,9,5,7,4,6,6,5
c1,관광지,고근산(고공산),제주특별자치도 서귀포시 고근산로202번길 48,2023,06,86,15,10,7,8,17,12,17
c1,관광지,고내리 다락쉼터,제주특별자치도 제주시 애월읍 애월해안로 284,2023,06,73,14,13,9,11,9,11,6
c1,관광지,고내리포구,제주특별자치도 제주시 애월읍 고내리,2023,06,69,13,10,5,15,10,7,9
c1,관광지,"고내봉(고내오름,고니오름,망오름)",제주특별자치도 제주시 애월읍 고내리 산 3-1,2023,06,72,14,8,12,8,11,7,12
c1,관광지,고사리숲,제주특별자치도 제주시 애월읍 평화로 2715 제주관광대학교 내 창업보육센터 본관 315호,2023,06,41,6,4,7,7,3,9,5
c1,관광지,고산일과해안도로,제주특별자치도 서귀포시 대정읍 영락하동로 9-6,2023,06,40,9,4,4,9,2,4,8
c1,관광지,고살리숲길,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,2023,06,288,41,38,54,41,38,42,34
c1,관광지,고씨주택,제주특별자치도 제주시 관덕로17길 27-1,2023,06,91,12,6,16,20,16,11,10
c1,관광지,고요산책,제주특별자치도 제주시 중앙로12길 5,2023,06,59,9,10,8,11,5,12,4
c1,관광지,고포잇다이브센터,제주특별자치도 서귀포시 이어도로 685-1,2023,06,41,8,3,6,6,4,6,8
c1,관광지,고흐의 정원,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,2023,06,99,11,16,17,15,14,11,15
c1,관광지,곤물,제주특별자치도 서귀포시 안덕면 화순서서로64번길 64-4,2023,06,31,10,2,5,4,3,1,6
c1,관광지,곤흘동(곤을동) 마을터,제주특별자치도 제주시 화북1동 4438,2023,06,116,15,21,19,15,15,14,17
c1,관광지,골프탕탕,제주특별자치도 서귀포시 안덕면 산록남로 762번길 71,2023,06,55,10,7,8,5,11,7,7
c1,관광지,곱닥한개,제주특별자치도 제주시 설촌로10길 12,2023,06,33,5,3,4,4,8,3,6
c1,관광지,곱뜨락아띠 향수공방,제주특별자치도 서귀포시 안덕면 사계중앙로3번길 22,2023,06,9,2,2,3,2,0,0,0
c1,관광지,공방:하루_반,제주특별자치도 제주시 구좌읍 월정7길 42-6 1층,2023,06,49,8,7,2,14,4,6,8
c1,관광지,공천포,제주특별자치도 서귀포시 남원읍 신례리,2023,06,74,12,5,10,24,8,6,9
c1,관광지,공천포구,제주특별자치도 서귀포시 남원읍 신례리,2023,06,51,9,4,7,13,8,5,5
c1,관광지,곶자왈,제주특별자치도 서귀포시 대정읍 신평리,2023,06,177,23,22,24,32,32,24,20
c1,관광지,곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,2023,06,32,7,1,3,3,4,3,11
c1,관광지,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),2023,06,1454,200,189,203,241,240,225,156
c1,관광지,곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,2023,06,144,18,30,14,26,18,21,17
c1,관광지,관덕정,제주특별자치도 제주시 관덕로 19,2023,06,431,68,43,53,76,90,54,47
c1,관광지,관음사,제주특별자치도 제주시 산록북로 660,2023,06,154,22,26,13,36,19,19,19
c1,관광지,관음사 군 주둔지 옛터,제주특별자치도 제주시 산록북로 660,2023,06,38,8,4,8,4,6,4,4
c1,관광지,관음사 야영장,제주특별자치도 제주시 산록북로 588,2023,06,143,26,25,17,25,17,12,21
c1,관광지,관음사 템플스테이,제주시 산록북로 660,2023,06,71,15,9,5,17,6,8,11
c1,관광지,광령귤나무,제주특별자치도 제주시 애월읍 광령8길 24-2,2023,06,32,11,3,3,6,4,3,2
c1,관광지,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,2023,06,741,107,106,84,135,121,100,88
c1,관광지,교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,2023,06,270,32,37,40,51,34,46,30
c1,관광지,구엄리돌염전,제주특별자치도 제주시 애월읍 애월해안로 708,2023,06,481,82,72,55,82,65,55,70
c1,관광지,구엄포구,제주특별자치도 제주시 애월읍 구엄리,2023,06,47,9,5,6,10,4,3,10
c1,관광지,구좌 하도어촌계,제주특별자치도 제주시 구좌읍 해맞이해안로 1897-27,2023,06,119,21,15,20,13,18,12,20
c1,관광지,구좌해안로,제주특별자치도 제주시 구좌읍 구좌해안로,2023,06,63,9,7,6,16,12,7,6
c1,관광지,국립제주박물관,제주특별자치도 제주시 일주동로 17,2023,06,293,47,43,45,46,53,18,41
c1,관광지,"군산(군산오름,코메오름)",제주특별자치도 서귀포시 안덕면 창천리 산 3-1,2023,06,316,51,48,41,55,57,21,43
c1,관광지,굴동포구,제주특별자치도 제주시 구좌읍 해맞이해안로,2023,06,41,6,4,4,6,10,3,8
c1,관광지,굿다이버,제주특별자치도 서귀포시 중산간서로 41 (강정동),2023,06,38,6,7,2,4,4,5,10
c1,관광지,궁대오름(궁대악),제주특별자치도 서귀포시 성산읍 금백조로 446,2023,06,44,4,4,4,12,2,10,8
c1,관광지,귀덕연대,제주특별자치도 제주시 한림읍 귀덕14길 14-5,2023,06,28,9,0,5,4,2,3,5
c1,관광지,귀빈사,제주특별자치도 제주시 구좌읍 비자림로 1456,2023,06,66,7,7,8,10,13,13,8
c1,관광지,귤밭76번지,제주특별자치도  제주시 화북이동 5495-2,2023,06,124,19,19,18,26,21,10,11
c1,관광지,귤빛캠핑장,제주특별자치도 제주시 조천읍 함와로 428,2023,06,108,20,27,11,16,13,8,13
c1,관광지,그랑블루 요트투어,제주특별자치도 서귀포시 대포로 174,2023,06,153,28,13,18,27,28,23,16
c1,관광지,그랑블루호(선상낚시),제주특별자치도 서귀포시 남원읍 위미중앙로180번길 10,2023,06,62,15,8,6,7,6,6,14
c1,관광지,그루밍시즌,제주특별자치도 서귀포시 동홍로 29,2023,06,37,8,4,8,3,6,4,4
c1,관광지,그루밍제주,제주특별자치도 서귀포시 천제연로 357,2023,06,36,7,6,3,7,3,4,6
c1,관광지,그리스신화박물관 / 트릭아이미술관,제주특별자치도 제주시 한림읍 광산로 942,2023,06,174,28,26,22,34,23,20,21
c1,관광지,그린크루즈(산방산유람선),제주특별자치도 서귀포시 안덕면 화순해안로106번길 16,2023,06,113,12,18,13,29,13,15,13
c1,관광지,그린페블,제주특별자치도 제주시 한림읍 수동7길 54-3,2023,06,14,3,1,4,1,2,0,3
c1,관광지,그제바람 윈드서핑패들보드,제주특별자치도 제주시 선사로8길 13-4,2023,06,69,6,12,11,17,8,5,10
c1,관광지,금능석물원,제주특별자치도 제주시 한림읍 한림로 176,2023,06,136,24,19,23,21,23,11,15
c1,관광지,금능포구,제주특별자치도 제주시 한림읍 금능리,2023,06,39,5,7,4,7,8,3,5
c1,관광지,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,2023,06,1808,279,242,276,294,296,210,211
c1,관광지,금당목장ATV,제주특별자치도 서귀포시 안덕면 신화역사로685번길 13-16,2023,06,7,2,1,2,0,2,0,0
c1,관광지,금덕무환자나무및팽나무군락,제주특별자치도 제주시 애월읍 유수암리 1920,2023,06,28,7,2,4,3,2,4,6
c1,관광지,금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11,2023,06,44,11,3,5,5,8,5,7
c1,관광지,금룡사 템플스테이,제주특별자치도 제주시 구좌읍 김녕로 148-11,2023,06,51,7,8,5,8,7,9,7
c1,관광지,금붕사,제주특별자치도 제주시 구좌읍 일주동로 3618-1,2023,06,46,9,8,4,4,4,10,7
c1,관광지,금성포구,제주특별자치도 제주시 애월읍 금성리 573-1,2023,06,44,7,5,7,5,8,8,4
c1,관광지,금악오름(왕매),제주특별자치도 제주시 한림읍 금악리 산 1-1,2023,06,414,62,57,51,80,76,50,38
c1,관광지,기독교순례길 1코스(순종의길),제주특별자치도 제주시 애월읍 금성하안길 3,2023,06,130,10,21,9,22,23,21,24
c1,관광지,기독교순례길 2코스(순교의길),제주특별자치도 제주시 한림읍 협재8길 8,2023,06,105,8,18,17,23,9,16,14
c1,관광지,기독교순례길 3코스(사명의길),제주특별자치도 제주시 한경면 조수3길 7,2023,06,86,15,16,16,10,5,14,10
c1,관광지,기독교순례길 4코스(화해의길),제주특별자치도 서귀포시 대정읍 추사로36번길 11,2023,06,88,6,8,16,11,23,13,11
c1,관광지,김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1,2023,06,761,113,97,103,130,118,102,98
c1,관광지,김녕 지질트레일,제주특별자치도 제주시 구좌읍 김녕로 209,2023,06,242,38,29,47,45,39,17,27
c1,관광지,김녕 청굴물,제주특별자치도 제주시 구좌읍 김녕리 1296,2023,06,124,23,17,15,20,20,11,18
c1,관광지,김녕금속공예벽화마을,제주특별자치도 제주시 구좌읍 김녕항3길 18-16,2023,06,97,13,12,14,23,14,12,9
c1,관광지,김녕사굴,제주특별자치도 제주시 구좌읍 덕천리 201-4,2023,06,273,39,33,31,51,38,31,50
c1,관광지,김녕요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,2023,06,173,28,19,33,31,27,20,15
c1,관광지,김녕항,제주특별자치도 제주시 구좌읍 김녕항1길 50-13,2023,06,68,10,8,9,17,7,8,9
c1,관광지,김녕해수욕장,제주특별자치도 제주시 구좌읍 구좌해안로 237,2023,06,1754,290,243,247,304,260,181,229
c1,관광지,김녕해수욕장야영장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,2023,06,275,52,45,25,51,38,21,43
c1,관광지,김녕해안도로,제주특별자치도 제주시 구좌읍 김녕리,2023,06,117,19,18,12,21,18,13,16
c1,관광지,김만덕객주,제주특별자치도 제주시 임항로 68,2023,06,115,20,18,17,17,19,12,12
c1,관광지,김만덕기념관,제주특별자치도 제주시 산지로 7,2023,06,104,11,26,18,19,16,7,7
c1,관광지,김서프제주,제주특별자치도 서귀포시 색달로81번길 39,2023,06,65,9,7,12,8,9,10,10
c1,관광지,김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달로 137,2023,06,232,27,37,35,40,36,30,27
c1,관광지,김영수도서관,제주특별자치도 제주시 중앙로8길 18,2023,06,80,13,14,10,10,21,4,8
c1,관광지,김택화미술관,제주특별자치도 제주시 조천읍 신흥로 1,2023,06,50,11,4,4,10,8,5,8
c1,관광지,김한미술관 & 카페3206,제주특별자치도 제주시 한림읍 한상로 115,2023,06,50,10,8,5,12,4,6,5
c1,관광지,까끄래기오름,제주시 조천읍 교래리 128,2023,06,49,13,3,5,4,7,11,6
c1,관광지,꽃썸,서귀포시 안덕면 동광로 151,2023,06,56,8,5,10,9,9,6,9
c1,관광지,꿈바당 어린이도서관,제주특별자치도 제주시 연오로 140,2023,06,76,16,15,6,11,11,9,8
c1,관광지,나바론절벽,제주특별자치도 제주시 추자면 영흥리 산 19,2023,06,85,10,12,14,17,7,16,9
c1,관광지,나틸다,제주특별자치도 제주시 아란5길 31-6,2023,06,27,5,4,7,4,3,1,3
c1,관광지,낙선동 4.3성,제주특별자치도 제주시 조천읍 선흘서5길 13,2023,06,118,19,27,13,21,25,5,8
c1,관광지,낙천리아홉굿의자마을,제주시 한경면 낙수로 97,2023,06,131,21,18,20,23,19,14,16
c1,관광지,낙천아홉굿마을 의자공원,제주특별자치도 제주시 한경면 낙수로 97,2023,06,79,13,9,10,18,7,14,8
c1,관광지,낙타트래킹,제주특별자치도 서귀포시 표선면 번영로 2564-21,2023,06,140,28,13,25,14,25,15,20
c1,관광지,남내소,제주특별자치도 서귀포시 남원읍 하례로,2023,06,74,10,11,15,16,9,5,8
c1,관광지,남두연대,제주특별자치도 제주시 애월읍 신엄리 2780-1,2023,06,26,7,3,2,6,2,2,4
c1,관광지,남문지못,제주특별자치도 서귀포시 대정읍 인성리 392,2023,06,29,4,2,6,6,3,3,5
c1,관광지,남수각 하늘길 벽화거리,제주특별자치도 제주시 중앙로13길 32,2023,06,56,8,11,11,5,7,5,9
c1,관광지,남원 위미2리 어촌계,제주특별자치도 서귀포시 남원읍 태위로 208,2023,06,73,12,10,6,9,16,9,11
c1,관광지,남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,2023,06,418,69,50,71,67,70,40,51
c1,관광지,남원항 (남원포구),제주특별자치도 서귀포시 남원읍 남태해안로 140,2023,06,75,12,6,10,9,13,13,12
c1,관광지,납읍난대림 금산공원,제주특별자치도 제주시 애월읍 납읍리 14 57,2023,06,129,22,19,13,21,17,19,18
c1,관광지,내창트레킹,제주특별자치도 서귀포시 남원읍 하례중앙로 95,2023,06,84,14,9,15,14,13,9,10
c1,관광지,너도나도 ATV,제주특별자치도 제주시 조천읍 비자림로 1053,2023,06,6,1,3,0,2,0,0,0
c1,관광지,너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,2023,06,349,61,43,50,83,60,19,33
c1,관광지,넥슨컴퓨터박물관,제주특별자치도 제주시 1100로 3198-8,2023,06,243,34,46,30,36,50,19,28
c1,관광지,노루생태관찰원,제주특별자치도 제주시 명림로 520,2023,06,121,20,16,14,20,19,11,21
